wl,n,,wl,k,alpha,,,,,,"Z. Holman, M. Filipic, A. Descoeudres, S. De Wolf, F. Smole, M. Topic and C. Ballif, 'Infrared light management in high-efficiency silicon heterojunction and rear-passivated solar cells', Journal of Applied Physics 113(1), p. 013107, 2013."
(nm),,,(nm),,,,,,,,
250,2.447,,250,0.4658,2.34E+05,,,,,,
255,2.444,,255,0.4411,2.17E+05,,,,,,
260,2.441,,260,0.4174,2.02E+05,,,,,,
265,2.437,,265,0.3948,1.87E+05,,,,,,
270,2.433,,270,0.373,1.74E+05,,,,,,
275,2.428,,275,0.3522,1.61E+05,,,,,,
280,2.423,,280,0.3323,1.49E+05,,,,,,
285,2.418,,285,0.3133,1.38E+05,,,,,,
290,2.412,,290,0.295,1.28E+05,,,,,,
295,2.406,,295,0.2776,1.18E+05,,,,,,
300,2.4,,300,0.2609,1.09E+05,,,,,,
305,2.394,,305,0.2449,1.01E+05,,,,,,
310,2.387,,310,0.2296,93080,,,,,,
315,2.38,,315,0.215,85790,,,,,,
320,2.374,,320,0.2011,78980,,,,,,
325,2.366,,325,0.1878,72610,,,,,,
330,2.359,,330,0.1751,66680,,,,,,
335,2.352,,335,0.163,61140,,,,,,
340,2.345,,340,0.1515,55980,,,,,,
345,2.337,,345,0.1405,51160,,,,,,
350,2.33,,350,0.13,46680,,,,,,
355,2.323,,355,0.1201,42500,,,,,,
360,2.315,,360,0.1106,38610,,,,,,
365,2.308,,365,0.1016,34990,,,,,,
370,2.3,,370,9.31E-02,31630,,,,,,
375,2.293,,375,8.51E-02,28510,,,,,,
380,2.285,,380,7.75E-02,25620,,,,,,
385,2.278,,385,7.03E-02,22940,,,,,,
390,2.27,,390,6.35E-02,20460,,,,,,
395,2.263,,395,5.71E-02,18180,,,,,,
400,2.256,,400,5.12E-02,16070,,,,,,
405,2.248,,405,4.56E-02,14130,,,,,,
410,2.241,,410,4.03E-02,12360,,,,,,
415,2.234,,415,3.55E-02,10740,,,,,,
420,2.227,,420,3.10E-02,9260,,,,,,
425,2.22,,425,2.68E-02,7918,,,,,,
430,2.213,,430,2.29E-02,6704,,,,,,
435,2.206,,435,1.94E-02,5613,,,,,,
440,2.2,,440,1.62E-02,4638,,,,,,
445,2.193,,445,1.34E-02,3773,,,,,,
450,2.187,,450,1.08E-02,3013,,,,,,
455,2.18,,455,8.51E-03,2350,,,,,,
460,2.174,,460,6.52E-03,1781,,,,,,
465,2.168,,465,4.82E-03,1303,,,,,,
470,2.162,,470,3.40E-03,909.1,,,,,,
475,2.157,,475,2.24E-03,592.6,,,,,,
480,2.151,,480,1.35E-03,353.4,,,,,,
485,2.146,,485,7.24E-04,187.6,,,,,,
490,2.141,,490,3.49E-04,89.5,,,,,,
495,2.136,,495,2.23E-04,56.61,,,,,,
500,2.132,,500,2.30E-04,57.81,,,,,,
505,2.128,,505,2.37E-04,58.97,,,,,,
510,2.125,,510,2.44E-04,60.12,,,,,,
515,2.121,,515,2.52E-04,61.49,,,,,,
520,2.118,,520,2.60E-04,62.83,,,,,,
525,2.114,,525,2.68E-04,64.15,,,,,,
530,2.111,,530,2.76E-04,65.44,,,,,,
535,2.108,,535,2.84E-04,66.71,,,,,,
540,2.106,,540,2.93E-04,68.18,,,,,,
545,2.103,,545,3.01E-04,69.4,,,,,,
550,2.1,,550,3.10E-04,70.83,,,,,,
555,2.098,,555,3.19E-04,72.23,,,,,,
560,2.096,,560,3.28E-04,73.6,,,,,,
565,2.093,,565,3.37E-04,74.95,,,,,,
570,2.091,,570,3.46E-04,76.28,,,,,,
575,2.089,,575,3.56E-04,77.8,,,,,,
580,2.087,,580,3.65E-04,79.08,,,,,,
585,2.085,,585,3.75E-04,80.55,,,,,,
590,2.083,,590,3.85E-04,82,,,,,,
595,2.081,,595,3.95E-04,83.42,,,,,,
600,2.079,,600,4.06E-04,85.03,,,,,,
605,2.077,,605,4.16E-04,86.41,,,,,,
610,2.076,,610,4.27E-04,87.96,,,,,,
615,2.074,,615,4.38E-04,89.5,,,,,,
620,2.072,,620,4.49E-04,91,,,,,,
625,2.071,,625,4.60E-04,92.49,,,,,,
630,2.069,,630,4.72E-04,94.15,,,,,,
635,2.068,,635,4.83E-04,95.58,,,,,,
