wl,n,,wl,k,alpha,,,,,
(nm),,,(nm),,,,,,,"M. Filipic, P. Löper, B. Niesen, S. De Wolf, J. Krc, C. Ballif and M. Topic, 'CH3NH3PbI3 perovskite / silicon tandem solar cells: characterization based optical simulations', Optics Express 23(7), pp. A263–A278, 2015."
350,1.615,,350,0.2884,1.04E+05,,,,,
360,1.65,,360,0.3286,1.15E+05,,,,,
370,1.708,,370,0.3525,1.20E+05,,,,,
380,1.78,,380,0.3491,1.15E+05,,,,,
390,1.853,,390,0.3102,99940,,,,,
400,1.906,,400,0.2354,73960,,,,,
410,1.918,,410,0.1396,42780,,,,,
420,1.88,,420,5.51E-02,16500,,,,,
430,1.816,,430,1.23E-02,3592,,,,,
440,1.762,,440,9.27E-03,2647,,,,,
450,1.732,,450,2.15E-02,5997,,,,,
460,1.72,,460,3.13E-02,8539,,,,,
470,1.715,,470,3.44E-02,9195,,,,,
480,1.711,,480,3.26E-02,8539,,,,,
490,1.707,,490,2.85E-02,7295,,,,,
500,1.702,,500,2.36E-02,5938,,,,,
510,1.696,,510,1.91E-02,4705,,,,,
520,1.69,,520,1.53E-02,3686,,,,,
530,1.684,,530,1.22E-02,2890,,,,,
540,1.678,,540,9.85E-03,2293,,,,,
550,1.673,,550,8.13E-03,1858,,,,,
560,1.668,,560,6.92E-03,1552,,,,,
570,1.664,,570,6.08E-03,1341,,,,,
580,1.66,,580,5.55E-03,1202,,,,,
590,1.656,,590,5.23E-03,1114,,,,,
600,1.653,,600,5.08E-03,1063,,,,,
610,1.65,,610,5.04E-03,1038,,,,,
620,1.647,,620,5.08E-03,1030,,,,,
630,1.645,,630,5.19E-03,1034,,,,,
640,1.643,,640,5.33E-03,1046,,,,,
650,1.641,,650,5.49E-03,1062,,,,,
660,1.639,,660,5.68E-03,1081,,,,,
670,1.638,,670,5.87E-03,1101,,,,,
680,1.636,,680,6.07E-03,1121,,,,,
690,1.635,,690,6.27E-03,1141,,,,,
700,1.633,,700,6.47E-03,1161,,,,,
710,1.632,,710,6.67E-03,1180,,,,,
720,1.631,,720,6.87E-03,1198,,,,,
730,1.63,,730,7.06E-03,1216,,,,,
740.1,1.629,,740.1,7.26E-03,1232,,,,,
750.1,1.628,,750.1,7.45E-03,1249,,,,,
760.1,1.628,,760.1,7.65E-03,1264,,,,,
770.1,1.627,,770.1,7.84E-03,1279,,,,,
780.1,1.626,,780.1,8.04E-03,1294,,,,,
790.1,1.625,,790.1,8.23E-03,1309,,,,,
800.1,1.624,,800.1,8.43E-03,1324,,,,,
810.1,1.624,,810.1,8.64E-03,1340,,,,,
820.1,1.623,,820.1,8.84E-03,1355,,,,,
830.1,1.622,,830.1,9.06E-03,1371,,,,,
840.1,1.622,,840.1,9.28E-03,1388,,,,,
850.1,1.621,,850.1,9.51E-03,1405,,,,,
860.1,1.62,,860.1,9.74E-03,1423,,,,,
870.1,1.62,,870.1,9.99E-03,1442,,,,,
880.1,1.619,,880.1,1.02E-02,1462,,,,,
890.1,1.618,,890.1,1.05E-02,1483,,,,,
900.1,1.618,,900.1,1.08E-02,1505,,,,,
910.1,1.617,,910.1,1.11E-02,1529,,,,,
920.1,1.616,,920.1,1.14E-02,1554,,,,,
930.1,1.616,,930.1,1.17E-02,1581,,,,,
940.1,1.615,,940.1,1.20E-02,1609,,,,,
950.1,1.614,,950.1,1.24E-02,1639,,,,,
960.1,1.614,,960.1,1.28E-02,1670,,,,,
970.1,1.613,,970.1,1.32E-02,1704,,,,,
980.1,1.612,,980.1,1.36E-02,1739,,,,,
990.1,1.611,,990.1,1.40E-02,1777,,,,,
1000,1.611,,1000,1.45E-02,1817,,,,,
1010,1.61,,1010,1.50E-02,1860,,,,,
1020,1.609,,1020,1.55E-02,1905,,,,,
1030,1.608,,1030,1.60E-02,1952,,,,,
1040,1.608,,1040,1.66E-02,2003,,,,,
1050,1.607,,1050,1.72E-02,2056,,,,,
1060,1.606,,1060,1.78E-02,2113,,,,,
1070,1.605,,1070,1.85E-02,2173,,,,,
1080,1.604,,1080,1.92E-02,2236,,,,,
1090,1.603,,1090,2.00E-02,2303,,,,,
1100,1.602,,1100,2.08E-02,2374,,,,,
1110,1.602,,1110,2.16E-02,2449,,,,,
1120,1.601,,1120,2.25E-02,2528,,,,,
1130,1.6,,1130,2.35E-02,2612,,,,,
1140,1.599,,1140,2.45E-02,2700,,,,,
1150,1.598,,1150,2.56E-02,2793,,,,,
1160,1.597,,1160,2.67E-02,2892,,,,,
1170,1.596,,1170,2.79E-02,2996,,,,,
1180,1.595,,1180,2.92E-02,3106,,,,,
1190,1.594,,1190,3.05E-02,3222,,,,,
1200,1.593,,1200,3.19E-02,3344,,,,,
